date,month,numerator,denominator,calc_value,org_code,name
2022-10-01,42,1939,3554,0.5455824423185144,00Q,NHS BLACKBURN WITH DARWEN
2022-11-01,43,2228,3980,0.5597989949748744,00Q,NHS BLACKBURN WITH DARWEN
2022-12-01,44,2381,4212,0.5652896486229819,00Q,NHS BLACKBURN WITH DARWEN
2023-01-01,45,2176,3958,0.5497726124305204,00Q,NHS BLACKBURN WITH DARWEN
2023-02-01,46,1813,3361,0.5394227908360607,00Q,NHS BLACKBURN WITH DARWEN
2023-03-01,47,2098,3808,0.5509453781512605,00Q,NHS BLACKBURN WITH DARWEN
2023-04-01,48,1825,3410,0.5351906158357771,00Q,NHS BLACKBURN WITH DARWEN
2023-05-01,49,2001,3693,0.5418359057676686,00Q,NHS BLACKBURN WITH DARWEN
2023-06-01,50,2017,3742,0.5390165686798504,00Q,NHS BLACKBURN WITH DARWEN
2023-07-01,51,1848,3479,0.5311871227364185,00Q,NHS BLACKBURN WITH DARWEN
2023-08-01,52,1866,3600,0.5183333333333333,00Q,NHS BLACKBURN WITH DARWEN
2023-09-01,53,2018,3724,0.541890440386681,00Q,NHS BLACKBURN WITH DARWEN
2023-10-01,54,1973,3687,0.5351234065636018,00Q,NHS BLACKBURN WITH DARWEN
2023-11-01,55,2033,3844,0.5288761706555671,00Q,NHS BLACKBURN WITH DARWEN
2023-12-01,56,2070,3898,0.5310415597742432,00Q,NHS BLACKBURN WITH DARWEN
2024-01-01,57,2123,3981,0.5332830946998242,00Q,NHS BLACKBURN WITH DARWEN
2024-02-01,58,1900,3596,0.5283648498331479,00Q,NHS BLACKBURN WITH DARWEN
2024-03-01,59,1901,3637,0.5226835303821831,00Q,NHS BLACKBURN WITH DARWEN
2024-04-01,60,1851,3596,0.5147385984427141,00Q,NHS BLACKBURN WITH DARWEN
2019-04-01,0,4639,8211,0.5649738156132018,02P,NHS BARNSLEY
2019-05-01,1,5074,9087,0.5583801034444811,02P,NHS BARNSLEY
2019-06-01,2,4504,8109,0.5554322357873968,02P,NHS BARNSLEY
2019-07-01,3,4568,8119,0.5626308658701811,02P,NHS BARNSLEY
2019-08-01,4,5139,9221,0.5573148248563062,02P,NHS BARNSLEY
2019-09-01,5,4720,8537,0.552887431181914,02P,NHS BARNSLEY
2019-10-01,6,4927,8900,0.5535955056179775,02P,NHS BARNSLEY
2019-11-01,7,4673,8427,0.5545271152248724,02P,NHS BARNSLEY
2019-12-01,8,5038,9032,0.5577945084145262,02P,NHS BARNSLEY
2020-01-01,9,4949,8968,0.5518510258697591,02P,NHS BARNSLEY
2020-02-01,10,4442,7981,0.5565718581631375,02P,NHS BARNSLEY
2020-03-01,11,6328,11159,0.5670759028586791,02P,NHS BARNSLEY
2020-04-01,12,5076,9341,0.5434107697248689,02P,NHS BARNSLEY
2020-05-01,13,4511,8394,0.5374076721467715,02P,NHS BARNSLEY
2020-06-01,14,4752,8833,0.5379825653798257,02P,NHS BARNSLEY
2020-07-01,15,4855,9014,0.5386066119369869,02P,NHS BARNSLEY
2020-08-01,16,4327,7972,0.5427747114902157,02P,NHS BARNSLEY
2020-09-01,17,4971,9020,0.5511086474501109,02P,NHS BARNSLEY
2020-10-01,18,4917,9074,0.5418778928807582,02P,NHS BARNSLEY
2020-11-01,19,4679,8585,0.5450203843913803,02P,NHS BARNSLEY
2020-12-01,20,5088,9379,0.5424885382236913,02P,NHS BARNSLEY
2021-01-01,21,4396,8092,0.5432525951557093,02P,NHS BARNSLEY
2021-02-01,22,4187,7794,0.5372081088016423,02P,NHS BARNSLEY
2021-03-01,23,4695,8807,0.5330986715112979,02P,NHS BARNSLEY
2021-04-01,24,4598,8411,0.5466650814409701,02P,NHS BARNSLEY
2021-05-01,25,4289,7981,0.5374013281543666,02P,NHS BARNSLEY
2021-06-01,26,4960,9074,0.5466167070751597,02P,NHS BARNSLEY
2021-07-01,27,4803,8791,0.5463542259128654,02P,NHS BARNSLEY
2021-08-01,28,4561,8379,0.5443370330588375,02P,NHS BARNSLEY
2021-09-01,29,4663,8668,0.5379556991232118,02P,NHS BARNSLEY
2021-10-01,30,4532,8422,0.5381144621230112,02P,NHS BARNSLEY
2021-11-01,31,4787,8698,0.5503564037709818,02P,NHS BARNSLEY
